id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
3,231386.82071489998,0.22785699999076314,231387.04857189997,79,82,86,0.30013328876328027,0.5003624316243513 0.49499117937616083 0.49856082980542726 0.4906263505555789 0.4587804746433365 0.3227211540107926 0.23012856141820015 0.13753596882560754 0.12864857467880536 0.2157584971866474 0.216223213179266 0.14941931319666504 0.07377479360268432 0.1628799274685188 0.12313263169151577 0.037436853913243646 -0.01914404723269144 -0.019651868877513672 -0.11224446147010639 -0.20483705406269892 -0.20861134051720231 -0.39105519066001193 -0.43693793247263013 -0.4511492127939839 -0.4705185120070755 -0.6515883072916916 -0.6275145614846798 -0.5694988413247605,231386.82071489998 231386.82870989997 231386.83665089996 231386.84475989998 231386.85269989996 231386.86060089996 231386.86861189996 231386.87668689998 231386.88491889997 231386.89271589997 231386.90067389997 231386.9098869 231386.91667189996 231386.92466089997 231386.93667589998 231386.94475389997 231386.95270389997 231386.96072689997 231386.96866389998 231386.97676189998 231386.98461889997 231386.99262989996 231387.00068989999 231387.00875589997 231387.01664489997 231387.02462289997 231387.03264989998 231387.04064389996
4,231389.12877589997,0.16390400001546368,231389.29267989998,148,150,153,0.41858620496648513,0.5283692487963921 0.5893951608075032 0.6355022289134836 0.6711232781410215 0.6901124377807509 0.7580323389045042 0.6654397463119115 0.48863480315559515 0.3357671035422194 0.16026819577209783 -0.0014110864604690867 0.03765897273303593 -0.03795069470059679 -0.1468781112812914 -0.2270242164824475 -0.3160562317972561 -0.36355016218662506 -0.5363990016373904 -0.628991594229983 -0.5531594856951281,231389.12877589997 231389.13677189997 231389.14478489998 231389.15272289998 231389.16077589997 231389.16875289998 231389.17667489997 231389.18472089997 231389.19269989998 231389.20090089997 231389.20873889996 231389.21670289998 231389.22467089997 231389.23268189997 231389.24061289997 231389.24862789997 231389.25665589998 231389.26864889998 231389.27668489996 231389.28472689996
5,231389.68461989998,0.16396599999279715,231389.84858589998,164,166,169,0.4249489769209081,0.5183124252186557 0.5506020549517765 0.6316579809038403 0.6901250710336926 0.6409735721907839 0.5925147958436757 0.44478557231859306 0.4287948421788924 0.26031504526595745 0.08943308734644813 -0.08598997185214316 -0.08823713397741281 -0.11208605097313461 -0.19278707541714962 -0.36397755911970303 -0.5271943652400456 -0.5493706113272298 -0.5799225916526088 -0.554617207917376 -0.5972825236890422,231389.68461989998 231389.69278689998 231389.70075589998 231389.70868189997 231389.7167149 231389.72480189998 231389.73673589996 231389.74501089996 231389.75272589998 231389.76075389996 231389.76873589997 231389.77668189997 231389.7846959 231389.7927339 231389.80095889998 231389.80866489996 231389.81665989998 231389.82469789998 231389.83272989996 231389.84062189996
6,231390.43671989997,0.1920830000017304,231390.62880289997,187,189,192,0.434952066464464,0.5383862453965819 0.6296747214751801 0.6972927361110434 0.6511580575882975 0.6799949434784571 0.6701811861725169 0.5823509715837865 0.4897583789911941 0.5293946012385317 0.4544641635357607 0.3629998681120594 0.2604103000038217 0.11052141255427464 -0.03833756182303939 -0.18533029269664184 -0.14464450059488776 -0.21569918870236626 -0.28523306831081174 -0.36381460125715104 -0.4450117405467952 -0.5170002572652749 -0.5272201282278585 -0.5327355292534556 -0.5272351402273492,231390.43671989997 231390.44465389996 231390.45264889998 231390.46069989997 231390.46865189998 231390.47662389997 231390.48463189998 231390.49275189996 231390.50066389996 231390.50863589998 231390.51672889997 231390.52468689997 231390.53265989997 231390.5406239 231390.54862289998 231390.55663289997 231390.56462189998 231390.57263189997 231390.58063989997 231390.58864589996 231390.59662289996 231390.60469289997 231390.61263489997 231390.6206409
7,231391.39669489997,0.2279440000129398,231391.6246389,215,218,222,0.3495231225057464,0.5115552244356727 0.5054692149156013 0.5274965716614207 0.5341791751131353 0.5368832453539729 0.41134091814421786 0.2670477257840818 0.17445513319148911 0.2653720663659757 0.17512934274206418 0.26587008348280483 0.2073827989288229 0.1589971059615141 0.15788720676736176 0.11935518424821785 0.03870938460928288 -0.0481653513021418 -0.07485847466040911 -0.06404986771791452 -0.1566424603105071 -0.3409017195697663 -0.43349431216235884 -0.617753571421618 -0.6360083150249459 -0.6305628677919576 -0.6579634872458118 -0.6544864502928391 -0.6146301709549916,231391.39669489997 231391.40472089997 231391.41267489997 231391.42060589997 231391.42869889998 231391.43669089998 231391.44459789997 231391.45370489996 231391.46079589997 231391.46860789997 231391.47667489998 231391.48461089996 231391.49269589997 231391.50066589998 231391.50877589997 231391.51663389997 231391.52463489998 231391.53274489997 231391.54063089998 231391.54861089998 231391.55658789998 231391.56467489997 231391.57261289997 231391.58063189997 231391.58865689998 231391.59665489997 231391.60879589999 231391.61663989996
8,231392.20463889997,0.2640020000108052,231392.46864089998,239,243,247,0.5209694859657547,0.559528068605934 0.5592806352553256 0.651873227847918 0.7444658204405105 0.8004004858202113 0.8256080406727322 0.7330154480801399 0.7847050111242576 0.616944236476333 0.5252775698096664 0.5634862965310499 0.47232152768510294 0.37972893509251043 0.3943333778315379 0.30174078523894526 0.20914819264635276 0.06692033788747713 -0.05154903726369783 -0.11461866560833976 -0.26562087734651674 -0.19214985560563894 -0.2715441199592849 -0.4190375168847915 -0.511630109477384 -0.6042227020699764 -0.6262580401470667 -0.7170746295643475 -0.8063453338867389 -0.7628526043391425 -0.7304101935521958 -0.6906310139261548 -0.6188665359491086 -0.6204038042435135,231392.20463889997 231392.21266389996 231392.22050689996 231392.22863889998 231392.23662189997 231392.24467889997 231392.2525819 231392.26067889997 231392.26863489999 231392.27663689997 231392.28465189997 231392.29271589997 231392.30071489996 231392.3087449 231392.31664789998 231392.32462189998 231392.33267789998 231392.34068489997 231392.3486329 231392.35665789997 231392.36466889997 231392.37259289998 231392.38065389998 231392.38863389997 231392.3966239 231392.40478489996 231392.41279789997 231392.42063389998 231392.42870689998 231392.43665889997 231392.44473189997 231392.45261389998 231392.46072289997
9,231393.3646669,0.23594999997294508,231393.60061689996,274,277,281,0.49115093030529394,0.506320004003214 0.5551768965227409 0.600659225167246 0.6746401404929052 0.7498031467519689 0.7911485435749969 0.6985559509824044 0.6098003135751017 0.45923770788590734 0.326310072684206 0.41705081342494665 0.3586130751598727 0.2830325228958753 0.2179268550751921 0.12399226942443037 -0.02914981194221461 -0.19320629492272734 -0.3260376411761186 -0.4082672653680387 -0.4899251044102076 -0.46254445629348695 -0.474466963667862 -0.658726222927121 -0.660330188110377 -0.6658002773615155 -0.6739502605159181 -0.6691010032233471 -0.613684362915179 -0.5459195883984023,231393.3646669 231393.37262389998 231393.38069089997 231393.38864289998 231393.39662589997 231393.40469089997 231393.4126809 231393.4206539 231393.42869389997 231393.43660989997 231393.44468989997 231393.45263289998 231393.46064689997 231393.46858689998 231393.48073289997 231393.48862089997 231393.49664689996 231393.50463889996 231393.51268289998 231393.5206799 231393.52863989997 231393.53664289997 231393.54472489998 231393.55265589998 231393.56064589997 231393.56862089998 231393.57674789996 231393.58472589997 231393.59266789997
10,231394.57682389996,0.24780000001192093,231394.82462389997,310,314,318,0.5103310686216183,0.5151629072463422 0.6077554998389347 0.6111340263552566 0.6488244163946298 0.6772949833737907 0.7680357241145314 0.675443131521939 0.7537272807966698 0.6790480013549127 0.5864554087623203 0.4938628161697278 0.35228387312905335 0.32851386172878777 0.1889480296437083 0.19390097686996963 0.05502527826821163 -0.08795705342275296 -0.25131758863820153 -0.3315856074137175 -0.49024899639831454 -0.4705997999466094 -0.5532300722114432 -0.6353569832511488 -0.6297120316426253 -0.6547383620926672 -0.6533844757002858 -0.6960381196386253 -0.6411622976596677 -0.568853386442084,231394.57682389996 231394.58471889998 231394.59280989997 231394.60063589996 231394.60930289997 231394.61669389997 231394.6247459 231394.63265589997 231394.64066889999 231394.64870889997 231394.65670389996 231394.66470489997 231394.67266789998 231394.68075389997 231394.68868089997 231394.69668189998 231394.7046369 231394.71274589997 231394.72065689997 231394.72867989997 231394.73660189996 231394.74474789997 231394.77451889997 231394.78106589997 231394.78471389998 231394.7926649 231394.80060889997 231394.80865889997 231394.81666389998
11,231396.61667489997,0.28419299999950454,231396.90086789997,371,375,380,0.43664262309348423,0.5053111889577092 0.597903781550302 0.6904963741428943 0.7830889667354869 0.7874355792731864 0.7875620087663927 0.6755529644436903 0.7346535841893757 0.6420609915967832 0.6101698319464289 0.5910944779061749 0.4249763058863334 0.33238371329374083 0.23979112070114825 0.1471985281085558 -0.005033273335235338 0.022487881941951407 0.008197131716859488 -0.0064785169591650045 -0.1310623400071243 -0.19520418416494364 -0.187169652033366 -0.30052551596076466 -0.22206056641227673 -0.3014338587612797 -0.3860331759852171 -0.4709831120130971 -0.43659331481974145 -0.5764867913188422 -0.6091378200148446 -0.6040175616504319 -0.5987223898686093 -0.5561893873507678 -0.5877989065845463 -0.5271970098746804,231396.61667489997 231396.62463689997 231396.63265189997 231396.64062389996 231396.64862189998 231396.65666189996 231396.66473189997 231396.67266089996 231396.68063589997 231396.68865189998 231396.69670289996 231396.70468389997 231396.71261689998 231396.72065989996 231396.7286629 231396.73668089998 231396.7486719 231396.75667289997 231396.76469289997 231396.77266189997 231396.78066389996 231396.78866789996 231396.79675189996 231396.80472789996 231396.81262189997 231396.82062589997 231396.82874189998 231396.83670889997 231396.84467489997 231396.85266189996 231396.86070389996 231396.86869889998 231396.87662389997 231396.88468089997 231396.89279489996
12,231397.78066889997,2.8799940000171773,231400.6606629,406,449,492,0.0816553456641283,0.5334104650264386 0.6260030576190313 0.716453304747836 0.7800599378282125 0.7265357789883861 0.606248942320089 0.4803124021314763 0.47871837594036243 0.3935427811425217 0.3792970134928376 0.4089527986134528 0.3163602060208603 0.16744536812637 0.013901096802260576 -0.12090797004967327 -0.25811623423278834 -0.19979993458238424 -0.2038480778544309 -0.20946520854016656 -0.2556930666892032 -0.3391023826991485 -0.35466195379752874 -0.40442402923359977 -0.48439098936351416 -0.45995003710689225 -0.4303506808957146 -0.43559230231936547 -0.409967592218697 -0.4695788367735699 -0.46865231016527953 -0.44547421620208005 -0.4349869284797489 -0.36076088905245096 -0.3555711670372945 -0.3487180752307018 -0.2784964745215637 -0.24784231969534426 -0.21677858851574086 -0.16786148150761918 -0.1343775402616571 -0.10758791256833944 -0.0791121522585551 -0.06435118339679861 -0.047500392904987976 -0.0383171163223407 -0.03014042421623515 -0.013346059454811987 -0.0064809730759374596 -0.008415750883243832 -0.008127159542507617 -0.006382459843600436 -0.00638245984360041 -0.004063154812212741 -0.001625650458865875 0.000267006732799063 0.0002670067327992652 0.0002670067327992973 0.0002670067327992764 -0.007637154172968017 -0.004756881131066181 -0.0015949651047035948 -0.001594965104703601 -0.005084364502518239 -0.0050843645025181365 -0.001533848268014426 -0.0017286561153552764 -0.001728656115355225 -0.0017286561153552122 -0.0017286561153553404 -0.0017286561153552764 0.0008728879469411574 0.0008728879469410676 0.00087288794694126 0.0008728879469413113 0.0026175876458485563 0.003638725589822917 -0.001734760072496089 -0.001637356148825626 -0.001637356148825663 -0.00014166037241609974 -0.00014166037241609815 0.00942061344782514 0.01006163932659016 0.010061639326590112 0.010061639326590103 0.01006163932659009 0.010061639326590065 0.008019363438641633 0.008114786059768073 0.008114786059768033 0.008114786059768059 0.005123394506948875 0.00512339450694894 -0.012485517395867306 -0.012291018609647512 -0.009573714600668994 -0.008228824094489908 -0.005103101332982387 -0.00510310133298249 -0.00408196338900821 -0.0023544165823194936 -0.002354416582319462 -0.0023544165823194537 -0.0008587208059098632 -0.0008587208059099242 0.00567228153899869 0.005672281538998728 0.00023767352104192143 -0.0024521074913164387 -0.008703553014331239 -0.008703553014331239 -0.008703553014331138 -0.008703553014331086 -0.007528916553214693 -0.0075289165532145385 -0.007528916553214641 -0.007528916553214693 -0.00601328081554829 -0.005087354889622484 -0.001444124954718114 -9.923444853886973e-05 0.005785416232214896 0.0065515566755224635 0.006551556675522405 0.006551556675522405 0.0042022837532890815 0.004202283753289133 0.0042022837532890815 0.0042022837532890945 0.004202283753289146 0.0023504319014373415 0.0004985800495855763 0.0004985800495855249 -0.00501927578890759 -0.006551556675522303 -0.006551556675522354 -0.006551556675522405 -0.005376920214405885 -0.005376920214405629 -0.005376920214405629 -0.0053769202144057044 -0.0053769202144057044 -0.004450994288480053 -0.003525068362554197 -0.003525068362554209 -0.0007661404433075745 -3.2088276324638867e-17 -8.984717370898882e-17 6.417655264927773e-18 -6.417655264927773e-18 -8.342951844406105e-17 -1.0910013950377214e-16 -1.2835310529855547e-16 -1.0268248423884437e-16 3.850593158956663e-17 6.417655264927773e-17 1.0910013950377214e-16 1.9894731321276097e-16 5.134124211942218e-17 2.567062105971109e-17 -3.850593158956663e-17 -1.7327669215304986e-16 -3.2088276324638867e-17 6.417655264927773e-18 3.850593158956663e-17 4.492358685449441e-17 -2.887944869217498e-17 -4.492358685449441e-17 -1.829031750504415e-16 -8.022069081159717e-17 -1.6044138162319433e-17 -1.1551779476869992e-16 -7.861627699536522e-17 6.096772501681384e-17 9.947365660638049e-17 1.0027586351449645e-16 1.187266224011638e-16 1.1230896713623603e-16 4.0110345405798585e-17 5.134124211942218e-17 7.139641482232148e-17 2.005517270289929e-16 2.6472827967827065e-16 2.1499145137508038e-16 1.7969434741797764e-16 7.05942079142055e-17 9.626482897391659e-17 1.5402372635826653e-16 0.0 1.2835310529855546e-17 1.668590368881221e-16 7.701186317913327e-17 2.82376831656822e-16 1.5402372635826653e-16 1.0268248423884437e-16 1.7969434741797764e-16 1.2835310529855547e-16 1.2835310529855547e-16 2.5670621059711093e-16 1.5402372635826653e-16 0.0009259259259261907 0.0018518518518520991 0.0018518518518518168 0.00544846234498215 0.0093775122253983 0.009377512225398326 0.013959691038838219 0.017318843249921414 0.019585160855893655 0.019585160855893763 0.02521881527370873 0.03130959868431098 0.030382728135144317 0.035493780506981674 0.042552410893969994 0.03922355771064746 0.03136545794981485 0.0313654579498148 0.022201100322935142 0.015482795900768712 0.010950160688824056 0.013589481954221175 0.0061968447985472075 -0.005806553805316132 -0.005742770433426219 -0.018742652954878734 -0.029925593623408728 -0.03268671256524558 -0.02875766268482929 -0.02346339049162698 -0.018881211678187244 -0.014620737897025433 -0.012354420291053032 -0.017633062821847623 -0.018506960736380817 -0.012772513760460744 -0.013823172560444616 -0.006860268336755325 -0.005670278160660337 -0.004547922699539662 -0.004547922699539746 -0.015136467085944242 -0.008584205751065756 -0.005301419231626722 -0.005301419231626637 -0.0023445100695997324 -0.0009534204447710362 -0.0007752522274299807 0.0002125678239045063 0.0002125678239044806 0.00789448618888846 0.01421773323306322 0.01421773323306327 0.023344562009528818 0.01930747871045705 0.010037940961343373 0.01003794096134327 0.009402765168084038 0.010644556195647576 0.01064455619564768 0.011514982691517557 0.011514982691517659 0.0027492311265733507 -0.002911863503632799 -0.002911863503632773 -0.009948594702614702 -0.020128074619505065 -0.01504264495990902 -0.01504264495990902 -0.014725057063279404 -0.014725057063279328 -0.014725057063279302 -0.01646591005501932 -0.016465910055019274 -0.013177201703742723 -0.016711735063129077 -0.016711735063128973 -0.014135942414954882 -0.007874778023472537 -0.007874778023472615 -0.007874778023472487 -0.007874778023472513 -0.007874778023472537 -0.007874778023472384 -0.007004351527602429 -0.007004351527602507 -0.006274906573472122 -0.0020315194571458705 -0.002031519457145922 -0.0014031374896013662 7.701186317913327e-17 2.567062105971109e-17 3.850593158956663e-17 0.0 -1.2835310529855547e-16 -1.7969434741797764e-16 -1.9252965794783319e-16 -1.3477076056348323e-16 -1.3477076056348323e-16 0.0 -1.0910013950377214e-16 -7.701186317913327e-17 1.9252965794783316e-17 -5.775889738434996e-17 -1.2835310529855547e-16 -2.887944869217498e-17 0.0 4.492358685449441e-17 6.096772501681384e-17 1.0268248423884437e-16 6.417655264927773e-18 2.4066207243479148e-17 -6.096772501681384e-17 -9.626482897391658e-18 -1.5723255399073045e-16 -7.701186317913327e-17 5.134124211942218e-17 3.1286069416522894e-17 4.8132414486958297e-17 2.2461793427247205e-17 0.0031683345635732576 0.013904428040539863 0.030026662128943137 0.08226678327277856 0.0875347992527451 0.18012739184533763 0.2727199844379301 0.3653125770305229 0.3662385029564486 0.4136841009803576 0.45476410782703286 0.5017188698796394 0.5254944010656373 0.5709404260663155 0.603528666791338 0.5470888307440612 0.5416567700071123 0.44906417741451987 0.3564715848219271 0.2638789922293346 0.28331035770993634 0.22164518036466052 0.14993667556421744 0.062430842697831286 0.014892644994999645 -0.10649034316651114 -0.2200335268817663 -0.2638742182187191 -0.2688141446847206 -0.36140673727731304 -0.45399932986990565 -0.5465919224624981 -0.5882324312014796 -0.6072388705826551 -0.5870618815217942 -0.5529145019468418,231397.78066889997 231397.78861389996 231397.79676489998 231397.80465689997 231397.81270689997 231397.8215949 231397.82872589998 231397.83668689997 231397.84470689998 231397.85312189997 231397.86441489996 231397.87744789998 231397.88804089997 231397.89570789997 231397.90139389999 231397.90876089997 231397.91667289997 231397.92474889997 231397.9327319 231397.94071289996 231397.94854989997 231397.95663289996 231397.96467289998 231397.97263189996 231397.98059389996 231397.98857089996 231397.99669289996 231398.00461289997 231398.01268289998 231398.02060889997 231398.02861889996 231398.03667889998 231398.04472389998 231398.05256889996 231398.06065089998 231398.06867189996 231398.07663689996 231398.08457089998 231398.09264889997 231398.10060489998 231398.10870189997 231398.11656189998 231398.12452889996 231398.13266889998 231398.14064789997 231398.15258589998 231398.16075289997 231398.16868889998 231398.17667989997 231398.18458389997 231398.19270589997 231398.20064589998 231398.20872589998 231398.21662289998 231398.22468289998 231398.23271489996 231398.24067389997 231398.2486489 231398.25661289998 231398.26471689998 231398.27266689998 231398.28070889998 231398.2886289 231398.29665989996 231398.30471789997 231398.31274089997 231398.32064389996 231398.32871689997 231398.33663389998 231398.34475989998 231398.35262889997 231398.36089889996 231398.36865189997 231398.37674589996 231398.38461389998 231398.39270289996 231398.40095089996 231398.40882389998 231398.41665889998 231398.42463189998 231398.4326669 231398.44069389996 231398.44856089997 231398.4565479 231398.46467689998 231398.47265989997 231398.48068289997 231398.48861489998 231398.49668789998 231398.50470989998 231398.51272389997 231398.52063589997 231398.52872789997 231398.53666589997 231398.54475489998 231398.5526409 231398.56072589997 231398.56866489997 231398.57682489997 231398.58464789996 231398.59272789996 231398.60072289998 231398.6087579 231398.62067289997 231398.62869989997 231398.63670489998 231398.64463289996 231398.65256189997 231398.66066189998 231398.66871289996 231398.67673589996 231398.68464789997 231398.69266589996 231398.70062489997 231398.7087419 231398.71669489998 231398.72469789998 231398.73269889998 231398.74065289999 231398.74874189997 231398.75652489997 231398.76474289998 231398.77265289996 231398.78067189996 231398.78854789998 231398.79662789998 231398.80461889997 231398.81264289998 231398.82055689997 231398.82869689996 231398.83668889996 231398.84462789996 231398.85268189997 231398.86072689996 231398.86870489997 231398.87680389997 231398.88467789997 231398.89268689998 231398.90069689997 231398.90880689997 231398.91666789996 231398.92457389997 231398.93259789998 231398.94066489997 231398.94860989996 231398.95650789997 231398.96460989997 231398.97254889997 231398.98062689998 231398.98850789998 231398.99656689996 231399.00455989997 231399.01270489997 231399.02061889996 231399.02867289996 231399.03672089998 231399.04461689998 231399.05258489997 231399.06068189998 231399.06858389996 231399.07668089998 231399.08863289998 231399.09672389997 231399.10473289998 231399.11266289998 231399.12061189997 231399.12870389997 231399.13670589996 231399.14464189997 231399.15262289997 231399.16074089997 231399.16872889997 231399.17684289996 231399.18465289997 231399.19266489998 231399.20068389998 231399.20882389997 231399.21671589997 231399.22463189997 231399.23274089998 231399.2406569 231399.24868789996 231399.25660889997 231399.26466289998 231399.27265489998 231399.28074289998 231399.28867489996 231399.29669489997 231399.30465289997 231399.31292389997 231399.32066889998 231399.32868789998 231399.33666889998 231399.34468289997 231399.35261589996 231399.36067889998 231399.36868089996 231399.37683489997 231399.38470889998 231399.39267789997 231399.40071589997 231399.40889789996 231399.41661589997 231399.42461289998 231399.43269189997 231399.44067789998 231399.4487009 231399.45660989996 231399.46463589996 231399.47265289997 231399.48072389996 231399.48864789997 231399.49668889996 231399.50463789998 231399.5127069 231399.52063389999 231399.52865589998 231399.5366719 231399.54477189996 231399.55656389997 231399.56453489998 231399.57268989997 231399.58063489996 231399.58859889998 231399.59655889997 231399.60462889998 231399.61269789998 231399.62056789998 231399.62861089996 231399.63664589997 231399.64471989998 231399.65273989996 231399.66064889997 231399.66865789998 231399.67687589998 231399.68471989996 231399.6926389 231399.70062789996 231399.70889789998 231399.71670589998 231399.72467389997 231399.73265289998 231399.74066089996 231399.74853789998 231399.75658689998 231399.76464789998 231399.77274489996 231399.78079589998 231399.78861589998 231399.79670989997 231399.80466989998 231399.81269289998 231399.82062189997 231399.82870089996 231399.83665989997 231399.84477189998 231399.85272889998 231399.86059989998 231399.86869089998 231399.87681289998 231399.88470689996 231399.89263889997 231399.90072089998 231399.90875989996 231399.91668589998 231399.92466589998 231399.93274289998 231399.94069389996 231399.94869689998 231399.95675389998 231399.96463589996 231399.97260189996 231399.98064889997 231399.98868289997 231399.99673089996 231400.00469389997 231400.01263089996 231400.02466189998 231400.03277789996 231400.04072789996 231400.04872589998 231400.05667789996 231400.06469389997 231400.07269489998 231400.08073789996 231400.08868489997 231400.09663489996 231400.10462089998 231400.11276189997 231400.12066789996 231400.12873389997 231400.13677589997 231400.1447589 231400.15259989997 231400.16074189998 231400.16862289998 231400.17683889996 231400.1847959 231400.19268889996 231400.2006389 231400.20888089997 231400.21673889997 231400.22464089998 231400.23264489998 231400.24071189997 231400.24872489998 231400.2566679 231400.26495089996 231400.27270989996 231400.28070989996 231400.28866989998 231400.29669389996 231400.30464589997 231400.31275089996 231400.32063689997 231400.32867489997 231400.33661789997 231400.34473589997 231400.35269789997 231400.36069789997 231400.36862989998 231400.37678089997 231400.38471089996 231400.39267089998 231400.4006029 231400.40903689998 231400.41670689997 231400.42457089998 231400.43265989996 231400.44067589997 231400.44874189998 231400.45666689996 231400.46470789998 231400.47269189998 231400.48471389996 231400.49269189997 231400.50063589998 231400.50883989997 231400.51666589998 231400.52480689998 231400.53266689996 231400.54065189997 231400.54854289998 231400.55664789997 231400.56459989998 231400.57265689998 231400.58067189998 231400.58869789998 231400.59665889997 231400.60463789996 231400.61268789996 231400.62065689996 231400.62860089997 231400.63662789998 231400.64469189997 231400.65262289997
