id,start_timestamp,duration,end_timestamp,start_frame_index,index,end_frame_index,confidence,filter_response,base_data
1,673567.2442188,0.3159229999873787,673567.5601418,714,718,723,0.510263498774698,0.5891264121785879 0.6703188162103414 0.6637617939559506 0.7516319491756289 0.8108417518120229 0.813468489874634 0.7228552571560604 0.7593530322058122 0.6728301682349497 0.5895495761819249 0.5403500950517346 0.4557430126671306 0.3660420235178958 0.2836007917991259 0.35939562712961887 0.2749369823862999 0.20004723420153064 0.15497559811637368 0.1549755981163737 0.09727030115481276 0.09727030115481283 0.005603634488146132 -0.08316523052073077 -0.16780000147041235 -0.24286092536465867 -0.307609175036736 -0.4529728262512772 -0.5239808053882032 -0.6055470961111562 -0.6867082518559913 -0.774320688733348 -0.8585603471155517 -0.9429485093664237 -0.8455449682694892 -0.7985689472269126 -0.7178814166122011 -0.6595230387316808 -0.6210375392878495 -0.5772982381008289,673567.2442188 673567.2522218 673567.2602198 673567.2682918 673567.2762368 673567.2842788 673567.2923018 673567.3003138 673567.3122518 673567.3202838 673567.3282168 673567.3362508 673567.3441738 673567.3522248 673567.3602208 673567.3683388 673567.3762188 673567.3841678001 673567.3921568 673567.4003188 673567.4082048 673567.4163298 673567.4241748 673567.4323068 673567.4402638 673567.4482348 673567.4562288 673567.4643328 673567.4722688 673567.4802648 673567.4881708 673567.4962778001 673567.5042438001 673567.5122738 673567.5202598 673567.5281608 673567.5362758 673567.5442348 673567.5522578
2,673575.0881928001,0.19606799993198365,673575.2842608,948,951,954,0.5456591527101565,0.5302669244817841 0.6213553828255726 0.7216702483352415 0.8093986052087891 0.877749171966839 0.8827182496741977 0.9368757363425372 0.8448617282443588 0.8413651378704996 0.7487725452779069 0.614932922164847 0.46169324996174255 0.3223607479851643 0.16846816135656836 0.007835078613524086 -0.08232539611954594 -0.16073168589129708 -0.23774995073449082 -0.3864847653253688 -0.4567780075061578 -0.5657085396403161 -0.6415181033918897 -0.625394675264333 -0.5488046508607858,673575.0881928001 673575.0963028 673575.1041488 673575.1122398 673575.1202418 673575.1284918 673575.1362748 673575.1442198 673575.1522308 673575.1601658 673575.1681928 673575.1762328 673575.1842318 673575.1921548 673575.2002188 673575.2082608 673575.2162808 673575.2242078 673575.2321818001 673575.2401898 673575.2482828001 673575.2602308 673575.2682168001 673575.2761958
3,673591.9041808001,0.20404699991922826,673592.1082278,1450,1453,1456,0.5906936655513583,0.5162096851401858 0.6088022777327784 0.6998471474206006 0.7836507095230951 0.8489382266998291 0.9152096013228098 0.9604504428527972 0.955549461974038 0.9464434396337579 0.8538508470411653 0.763159681249548 0.6705670886569554 0.519130440530103 0.3573331576577264 0.18522150624596345 0.03977562628325424 -0.08326581696754314 -0.21046624605387507 -0.32603033076918847 -0.4229007100846707 -0.5191501248995138 -0.5792362427499235 -0.6427096925629184 -0.7064778928632767 -0.65296524186844,673591.9041808001 673591.9122788 673591.9201848 673591.9281708 673591.9361678 673591.9441778 673591.9521208 673591.9601958 673591.9682928 673591.9761968 673591.9841778 673591.9921878 673592.0002498 673592.0082378 673592.0161948 673592.0241708 673592.0322948 673592.0402078 673592.0483378001 673592.0561648001 673592.0642408 673592.0722268 673592.0802608 673592.0921528001 673592.1002688
4,673600.0402158,0.2560839999932796,673600.2962998,1692,1696,1700,0.6246757255405584,0.5262658837578297 0.589813166065066 0.6765347397799227 0.744195062675679 0.8194082543615322 0.8993157312635403 0.9378111372200908 0.9435222556003195 0.850929663007727 0.7583370704151344 0.7527188229530561 0.6601262303604636 0.567533637767871 0.48946370031795666 0.40421894757533067 0.2324258231644895 0.07268581668232989 -0.08780993806294153 -0.22375189052990616 -0.3483382199458986 -0.4190079427237244 -0.49265541973240257 -0.6130017552110881 -0.7007461943008279 -0.779763751780545 -0.8626319238433128 -0.9481490532557167 -0.8490300684063521 -0.7851748122109304 -0.7143357680903538 -0.655011474865454 -0.5849090613700724,673600.0402158 673600.0483368001 673600.0561698 673600.0642888 673600.0721778 673600.0802938 673600.0882198 673600.0962828001 673600.1041958 673600.1123028001 673600.1202548001 673600.1281888001 673600.1362288 673600.1442108001 673600.1522098 673600.1601718001 673600.1681378001 673600.1762158 673600.1842898 673600.1922188001 673600.2002028 673600.2082378 673600.2162418 673600.2241478 673600.2322758 673600.2402148 673600.2483258 673600.2561908 673600.2643508001 673600.2722298 673600.2802498001 673600.2881928
5,673632.1442028,0.3159790000645444,673632.4601818001,2650,2655,2660,0.4739440710800395,0.5839673954027668 0.6765599879953595 0.7721896911108933 0.8342747997354576 0.8733668897807522 0.9575330302487843 0.9642466104509578 0.8172415025285501 0.6775840802651087 0.584991487672516 0.49837141846013233 0.40584311609966833 0.31571727276900247 0.22312468017640996 0.13053208758381735 0.054661567045063364 0.07295844307955009 -0.013390154570624653 -0.06304324096800763 0.06555049797366953 0.1733258901596847 0.1733258901596847 0.081659223493018 0.001576933894411757 -0.0753715863156425 -0.14879813981225043 -0.2231085308498029 -0.303738438122283 -0.4373970440649725 -0.5179960176306038 -0.5938716487157524 -0.7294033647432191 -0.8698589594275862 -0.9591877175701989 -0.8645897119133561 -0.7857265525394014 -0.7149299932850731 -0.6528212083710563 -0.5919839671364535,673632.1442028 673632.1521828 673632.1601788 673632.1681848001 673632.1762098001 673632.1842508 673632.1922098 673632.2001628 673632.2081698 673632.2162668001 673632.2241038 673632.2322138001 673632.2401678 673632.2482318 673632.2561878 673632.2641788 673632.2721988 673632.2802488001 673632.2922088 673632.3001858001 673632.3081938 673632.3162448 673632.3242158 673632.3321608 673632.3402118001 673632.3482538001 673632.3562278 673632.3642328 673632.3721348001 673632.3802348 673632.3882348001 673632.3961848001 673632.4041738 673632.4123478 673632.4201168 673632.4282018 673632.4362068 673632.4442148 673632.4521798
6,673640.4161798,0.28003899997565895,673640.6962188,2897,2901,2906,0.5382988424555244,0.5462257012172981 0.6151608460479312 0.6806814394615314 0.7598289902563448 0.84071965681182 0.8834774902573337 0.9209350524125274 0.9130323650660337 0.9008581991548891 0.8082656065622964 0.6703018211008752 0.5777092285082828 0.4875348736195079 0.4089910626867834 0.32993446968368706 0.24406439798998403 0.1573227684159501 0.08964755539689696 -0.042369869940291086 -0.1337191455160348 -0.22634387218679458 -0.28798165347126814 -0.25355508825980466 -0.3253788838962996 -0.398964349998617 -0.4734905871155367 -0.5468751524512696 -0.6175926638049389 -0.6909946634992686 -0.7679839577015081 -0.7031665501401057 -0.6830057095228198 -0.6482012880802934 -0.606757146524578 -0.5993873791839486,673640.4161798 673640.4242148 673640.4323998 673640.4401358 673640.4482388 673640.4561808 673640.4661828 673640.4721778 673640.4802428 673640.4882118 673640.4962618 673640.5041938 673640.5122298 673640.5202268 673640.5283148 673640.5362128001 673640.5441408 673640.5521798 673640.5601678 673640.5683728 673640.5761408 673640.5841778 673640.5921698001 673640.6001998 673640.6081548 673640.6162278 673640.6242168 673640.6323048 673640.6401408 673640.6481568001 673640.6561708 673640.6642638 673640.6721638 673640.6802228 673640.6881958001
7,673647.1287158,0.22745600005146116,673647.3561718,3098,3101,3104,0.5473374129941985,0.5848279636856258 0.6669276994224729 0.7531976023846982 0.7990375533789073 0.8394430950373089 0.892292182487548 0.8037585723820337 0.6530363099132808 0.7074659882642341 0.6148733956716415 0.5975701011505317 0.5067080355968664 0.3255633894556023 0.23821722529088252 0.06260721009992072 -0.0764362921337258 -0.19957508411870772 -0.3231462084604605 -0.3845042121650966 -0.3256449731737657 -0.47024813861002096 -0.545838241370901 -0.6592687337171752 -0.7401188194436659 -0.6358407821605102 -0.7231548591581258 -0.6307263582462219 -0.5654185368576241,673647.1287158 673647.1361508 673647.1442148 673647.1521758001 673647.1601628 673647.1682228 673647.1761028001 673647.1842168 673647.1921678 673647.2002688 673647.2081358 673647.2161538 673647.2241718001 673647.2321968001 673647.2401168001 673647.2522128 673647.2601728 673647.2683538 673647.2761498 673647.2842248001 673647.2921788 673647.3001598 673647.3081238 673647.3161658 673647.3241798 673647.3322248 673647.3401538 673647.3481968
8,673661.3322538,0.15980899997521192,673661.4920628,3521,3523,3526,0.46065141190525305,0.5120646386244008 0.5435361945841447 0.5855787281407651 0.6309795198387971 0.6732891484313941 0.7494880519302203 0.733336933481024 0.7042698376931686 0.6442234933831141 0.49156626268802545 0.34296020516775955 0.18514776874604735 0.04044241578623786 0.007503608734953777 -0.1076194623174562 -0.23374686982411635 -0.36927554134484397 -0.5171259444241242 -0.5687666948264632 -0.5721069181380039,673661.3322538 673661.3401628 673661.3481578 673661.3560998 673661.3642258 673661.3720998 673661.3801738 673661.3880408 673661.3961998001 673661.4040578001 673661.4121628 673661.4200408 673661.4282048 673661.4360778 673661.4443048 673661.4521198 673661.4601568 673661.4681948001 673661.4761878 673661.4841708001
9,673673.3521568,0.259978000074625,673673.6121348001,3880,3884,3888,0.5331275562573365,0.5186558156101793 0.5244940544905202 0.6070773880975934 0.6803872930967966 0.7623417038793632 0.8388054506831413 0.8948164541597432 0.8638146308581096 0.7781584460170243 0.694059244876444 0.6044372318815363 0.5164623601313052 0.4301335810255183 0.4842388478067817 0.40015029271803215 0.2548848278829998 0.11946781573015144 -0.021140623008918627 -0.1669873993972282 -0.19950280613833404 -0.2610966014025428 -0.33065207053577855 -0.4085893821321192 -0.48476204303039855 -0.5490758189936519 -0.6874562114779922 -0.7620364404689707 -0.7157693352882877 -0.6879372002820543 -0.657842445365404 -0.5865884425382187 -0.56825954122963,673673.3521568 673673.3601618 673673.3681648 673673.3761918 673673.3841298 673673.3921868 673673.4002138 673673.4082578 673673.4161828001 673673.4282528 673673.4361168001 673673.4442178 673673.4521258001 673673.4601768 673673.4681588 673673.4761418 673673.4841768 673673.4921938 673673.5001848 673673.5082278 673673.5161258 673673.5241988 673673.5322068001 673673.5402228 673673.5481238001 673673.5561528 673673.5641078 673673.5721928 673673.5802048 673673.5881988 673673.5962548 673673.6041318
10,673688.0081388,0.2239490000065416,673688.2320878,4317,4320,4324,0.43082381911185325,0.504061591176869 0.5996762551574943 0.6729908181493076 0.6901751362611824 0.7729384703765287 0.8295529874383273 0.8596123272618736 0.8939782728884735 0.8053954392804822 0.7250578762337795 0.632465283641187 0.5407102080540204 0.3744035971295227 0.28685540081375716 0.205943960935788 0.2501089862983053 0.16818891441386744 0.027989450469067225 -0.029667314515063648 -0.08283589346450909 -0.08283589346450908 -0.17450256013117582 -0.23936803779025992 -0.29799496219023636 -0.21657601211765215 -0.27840946220544666 -0.34973790461121795 -0.47103391866198824,673688.0081388 673688.0161608 673688.0241158 673688.0321628 673688.0401568001 673688.0481808 673688.0561268 673688.0641688 673688.0721668 673688.0802108 673688.0881628001 673688.0962198001 673688.1041948 673688.1122228 673688.1201268 673688.1282808001 673688.1361638 673688.1441658001 673688.1521768001 673688.1602358 673688.1682158001 673688.1761508001 673688.1842658 673688.1920908 673688.2001678001 673688.2081978 673688.2161678 673688.2240738
