,0
0,1
1,1
2,1
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,2
11,2
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,2
34,2
35,2
36,2
37,2
38,2
39,1
40,1
41,1
42,2
43,2
44,2
45,2
46,2
47,2
48,1
49,1
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,2
74,2
75,2
76,2
77,2
78,1
79,1
80,1
81,2
82,2
83,2
84,1
85,1
86,1
87,2
88,2
89,2
90,1
91,1
92,1
93,2
94,2
95,2
96,2
97,2
98,2
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,2
109,2
110,2
111,1
112,1
113,1
114,2
115,2
116,2
117,1
118,1
119,1
120,2
121,2
122,2
123,1
124,1
125,1
126,2
127,2
128,2
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,2
139,2
140,2
141,1
142,1
143,1
144,2
145,2
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,2
154,2
155,2
156,1
157,1
158,1
159,2
160,2
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,1
169,1
170,1
171,2
172,2
173,2
174,1
175,1
176,1
177,2
178,2
179,2
180,2
181,2
182,2
183,1
184,1
185,1
186,2
187,2
188,2
189,2
190,2
191,2
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,1
217,1
218,1
219,2
220,2
221,2
222,2
223,2
224,2
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,2
250,2
251,2
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,2
262,2
263,2
264,1
265,1
266,1
267,1
268,1
269,1
270,2
271,2
272,2
273,1
274,1
275,1
276,2
277,2
278,2
279,1
280,1
281,1
282,2
283,2
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,2
292,2
293,2
294,1
295,1
296,1
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,1
310,1
311,1
312,2
313,2
314,2
315,1
316,1
317,1
318,1
319,1
320,1
321,2
322,2
323,2
324,1
325,1
326,1
327,1
328,1
329,1
330,2
331,2
332,2
333,2
334,2
335,2
336,2
337,2
338,2
339,2
340,2
341,2
342,1
343,1
344,1
345,1
346,1
347,1
348,2
349,2
350,2
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,2
370,2
371,2
372,2
373,2
374,2
375,1
376,1
377,1
378,1
379,1
380,1
381,2
382,2
383,2
384,2
385,2
386,2
387,1
388,1
389,1
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,1
403,1
404,1
405,1
406,1
407,1
408,2
409,2
410,2
411,2
412,2
413,2
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,2
424,2
425,2
426,1
427,1
428,1
429,2
430,2
431,2
432,1
433,1
434,1
435,1
436,1
437,1
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,2
463,2
464,2
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,2
475,2
476,2
477,1
478,1
479,1
